site,section,link
livemint,markets,https://www.livemint.com/rss/markets
livemint,companies,https://www.livemint.com/rss/companies
business_standard,world_news,https://news.google.com/rss/search?q=site:business-standard.com/world&hl=en-US&gl=US&ceid=US:en
business_standard,technology,https://news.google.com/rss/search?q=site:business-standard.com/technology&hl=en-US&gl=US&ceid=US:en
business_standard,companies,https://news.google.com/rss/search?q=site:business-standard.com/companies&hl=en-US&gl=US&ceid=US:en
business_standard,industry,https://news.google.com/rss/search?q=site:business-standard.com/industry&hl=en-US&gl=US&ceid=US:en
business_standard,economy,https://news.google.com/rss/search?q=site:business-standard.com/economy&hl=en-US&gl=US&ceid=US:en
business_standard,finance,https://news.google.com/rss/search?q=site:business-standard.com/finance&hl=en-US&gl=US&ceid=US:en
business_standard,markets,https://news.google.com/rss/search?q=site:business-standard.com/markets&hl=en-US&gl=US&ceid=US:en
business_standard,budget,https://news.google.com/rss/search?q=site:business-standard.com/budget&hl=en-US&gl=US&ceid=US:en
economic_times,markets,https://economictimes.indiatimes.com/markets/rssfeeds/1977021501.cms
economic_times,technology,https://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
economic_times,ipo,https://economictimes.indiatimes.com/ipo/rssfeeds/125432745.cms
economic_times,ai,https://economictimes.indiatimes.com/ai/rssfeeds/119215726.cms
economic_times,industry-auto,https://economictimes.indiatimes.com/industry/auto/rssfeeds/13359412.cms
reuters,world,https://news.google.com/rss/search?q=site:reuters.com/world&hl=en-US&gl=US&ceid=US:en